股票名称,股票代码
复星医药,'02196
中海油田服务,'02883
重庆钢铁股份,'01053
李宁,'02331
第一拖拉机股份,'00038
长城汽车,'02333
中航科工,'02357
石四药集团,'02005
江苏宁沪高速公路,'00177
H&H国际控股,'01112
海丰国际,'01308
敏实集团,'00425
洛阳钼业,'03993
耐世特,'01316
