股票名称,股票代码
四川成渝高速公路,'00107
天誉置业,'00059
电讯盈科,'00008
恒生银行,'00011
亚洲水泥(中国),'00743
海信家电,'00921
中联重科,'01157
同程艺龙,'00780
太古股份公司B,'00087
天虹纺织,'02678
建发国际集团,'01908
中国旺旺,'00151
香港中华煤气,'00003
易居企业控股,'02048
新高教集团,'02001
万科企业,'02202
白云山,'00874
中国银河,'06881
建滔集团,'00148
招商局港口,'00144
中银香港,'02388
邮储银行,'01658
赣锋锂业,'01772
方达控股,'01521
海普瑞,'09989
海螺水泥,'00914
中国中药,'00570
惠理集团,'00806
中国物流资产,'01589
中石化炼化工程,'02386
中石化冠德,'00934
长和,'00001
康龙化成,'03759
粤海投资,'00270
兖州煤业股份,'01171
中国飞机租赁,'01848
SOHO中国,'00410
中国食品,'00506
中国东方航空股份,'00670
中国石油股份,'00857
深圳控股,'00604
保利协鑫能源,'03800
中国国航,'00753
同仁堂国药,'03613
中国建筑国际,'03311
福耀玻璃,'03606
阿里健康,'00241
中国旭阳集团,'01907
VTECH HOLDINGS,'00303
中国利郎,'01234
裕元集团,'00551
中国财险,'02328
重庆银行,'01963
中国建材,'03323
首程控股,'00697
招商证券,'06099
安徽皖通高速公路,'00995
中国平安,'02318
锦欣生殖,'01951
首钢资源,'00639
上海医药,'02607
神威药业,'02877
东岳集团,'00189
金隅集团,'02009
希玛眼科,'03309
冠城钟表珠宝,'00256
九兴控股,'01836
保利物业,'06049
青岛港,'06198
丰盛控股,'00607
长飞光纤光缆,'06869
鹰普精密,'01286
国泰航空,'00293
广汇宝信,'01293
联邦制药,'03933
新天绿色能源,'00956
先健科技,'01302
阿里影业,'01060
嘉华国际,'00173
金蝶国际,'00268
远东宏信,'03360
福寿园,'01448
蒙牛乳业,'02319
众安在线,'06060
新华文轩,'00811
北京首都机场股份,'00694
天伦燃气,'01600
恒安国际,'01044
彩生活,'01778
绿叶制药,'02186
海昌海洋公园,'02255
恒隆地产,'00101
北京汽车,'01958
中远海控,'01919
友邦保险,'01299
丽珠医药,'01513
创科实业,'00669
郑煤机,'00564
绿城服务,'02869
ASM PACIFIC,'00522
浙江世宝,'01057
信义光能,'00968
北京北辰实业股份,'00588
中集安瑞科,'03899
中国忠旺,'01333
中国民航信息网络,'00696
中信国际电讯,'01883
绿景中国地产,'00095
中国重汽,'03808
颐海国际,'01579
中国宏桥,'01378
新意网集团,'01686
德信中国,'02019
美东汽车,'01268
大新金融,'00440
信义玻璃,'00868
中国铁塔,'00788
中国光大控股,'00165
东江环保,'00895
三一国际,'00631
中国铝业,'02600
香港宽频,'01310
澳优,'01717
微创医疗,'00853
九龙仓置业,'01997
宝新金融,'01282
中船防务,'00317
六福集团,'00590
汇丰控股,'00005
纷美包装,'00468
永达汽车,'03669
新力控股集团,'02103
伟仕佳杰,'00856
中石化油服,'01033
潍柴动力,'02338
中国石油化工股份,'00386
东风集团股份,'00489
中国海洋石油,'00883
华宝国际,'00336
德昌电机控股,'00179
中国龙工,'03339
华晨中国,'01114
青岛啤酒股份,'00168
恒腾网络,'00136
中银航空租赁,'02588
雅迪控股,'01585
新创建集团,'00659
VITASOY INT'L,'00345
中铝国际,'02068
浙江沪杭甬,'00576
复星医药,'02196
海通恒信,'01905
乐游科技控股,'01089
互太纺织,'01382
中海油田服务,'02883
重庆钢铁股份,'01053
泰升集团,'00687
李宁,'02331
第一拖拉机股份,'00038
COSMOPOL INT'L,'00120
长城汽车,'02333
中航科工,'02357
石四药集团,'02005
江苏宁沪高速公路,'00177
H&H国际控股,'01112
海丰国际,'01308
敏实集团,'00425
洛阳钼业,'03993
耐世特,'01316
